Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,connect,100,0,1100,1071.7228900024202,26.96099999593571,1957.650600001216,0.0,1.5290399341555778,0.0,1600,1700,1800,1800,1800,2000,2000,2000,2000,2000,2000
WS,message echo,15312,0,1700,2090.4831303290616,60.26470003416762,8745.293499960098,575.0551854754441,234.1265947179021,0.0,1700,2300,2800,3100,4100,5100,6100,6700,8300,8700,8700
WS,send,15946,0,0.0447999918833375,0.13045227002083465,0.0447999918833375,1.2014999520033598,4.985639031732096,243.82070790044844,0.0,0,0,0,0,0,0,0,0,1,1,1
,Aggregated,31358,0,0.0447999918833375,1024.2595246028598,0.0447999918833375,8745.293499960098,283.3326742776963,479.4763425525061,0.0,0,1200,1600,2000,3100,4100,5400,6100,8000,8700,8700
