Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,cold start history,965,0,780,865.9827515025987,80.63379999657627,3228.94100000849,500.0,16.08964622683699,0.0,780,1000,1200,1300,1500,1800,2300,2800,3200,3200,3200
,Aggregated,965,0,780,865.9827515025987,80.63379999657627,3228.94100000849,500.0,16.08964622683699,0.0,780,1000,1200,1300,1500,1800,2300,2800,3200,3200,3200
