Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/auth/register,200,200,3024.252199975308,3043.4622069992474,3024.252199975308,3062.167700030841,0.0,32.8209391491933,32.8209391491933,3000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
,Aggregated,200,200,3024.252199975308,3043.4622069992474,3024.252199975308,3062.167700030841,0.0,32.8209391491933,32.8209391491933,3000,3100,3100,3100,3100,3100,3100,3100,3100,3100,3100
