Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
WS,cold start history,1689,0,360,651.8660918898042,53.87219996191561,3551.392499997746,500.0,10.21628568572913,0.0,360,690,960,1100,1600,2000,2500,2900,3500,3600,3600
,Aggregated,1689,0,360,651.8660918898042,53.87219996191561,3551.392499997746,500.0,10.21628568572913,0.0,360,690,960,1100,1600,2000,2500,2900,3500,3600,3600
